Character,Alternate Name,Doctor Strange in the Multiverse of Madness,Spider-Man No Way Home,Eternals,Shang-Chi,Black Widow,Avengers_Endgame,Black_Panther,Avengers Infinity War,Marvels The Avengers,Avengers Age of Ultron,Captain Marvel,Iron Man 3,Captain America Civil War,Guardians of the Galaxy Vol 2,Spider-Man Homecoming,Guardians of the Galaxy,Spider-Man Far from Home,Iron Man,Thor Ragnarok,Iron Man 2,Captain America The Winter Soldier,Doctor Strange,Ant-Man and the Wasp,Venom (2018),Thor The Dark World,Thor,Ant-Man,Captain America: The First Avenger,The Incredible Hulk
Tony Stark,Iron Man,,,,,,35:30,17:00,31:45,27:15,,2:15,37:15,8:00,0:30,17:15,,1:15,,,,,,,,,,,,00:30
Pepper Potts,,,,,,,4:30,,1:30,30:00,,,18:00,,,0:45,,,23:15,,30:00,,,,,,,,,
Obadiah Stane,,,,,,,,,,,,,,,,,,,22:00,,,,,,,,,,,
Professor Ho Yinsen,,,,,,,,,,,,,,,,,,,10:45,,,,,,,,,,,
James Rhodes,War Machine,,,,,,8:30,,2:45,,2:30,0:15,9:45,7:15,,,,,8:15,,45:00,,,,,,,,,
Raza,,,,,,,,,,,,,,,,,,,0:00,,,,,,,,,,,
Agent Phil Coulson,,,,,,,,,,9:00,,2:45,,,,,,,3:45,,0:00,,,,,,4:00,,,
Christine Everhart,,,,,,,,,,,,,,,,,,,,,30:00,,,,,,,,,
Happy Hogan,,,3:45,,,,1:00,,,,,,5:15,,,6:00,,8:00,1:15,,15:00,,,,,,,,,
Nick Fury,,,,,,,0:15,,1:00,18:15,3:00,22:30,,,,,,8:30,0:15,,30:00,30:00,,,,,0:45,,0:30,
Bruce Banner,Hulk,,,,,,20:45,,9:30,45:00,20:00,0:15,0:45,,,,,,,17:45,,,,,,,,,,51:45
Betty Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27:00
Abomination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:30
General Ross,,,,,,0:45,,,,,,,,2:45,,,,,,,,,,,,,,,,15:00
Ivan Vanko,Whiplash,,,,,,,,,,,,,,,,,,,,45:00,,,,,,,,,
Justin Hammer,,,,,,,,,,,,,,,,,,,,,30:00,,,,,,,,,
Natasha Romanoff,Black Widow,,,,,65:30,18:15,,5:00,24:45,18:00,0:30,,12:00,,,,,,0:15,15:00,24:55,,,,,,,,
Howard Stark,,,,,,,3:15,,,,,,,1:45,,,,,,,0:00,,,,,,,1:00,4:00,
Thor,,,,,,,20:30,,15:15,18:00,13:15,,,,,,,,,58:45,,,0:45,,,35:00,43:15,,,
Loki,,,,,,,1:00,,3:45,21:30,,0:00,,,,,,,,13:30,,,,,,17:00,21:15,,,
Jane Foster,,,,,,,,,,,,,,,,,,,,,,,,,,25:00,21:00,,,
Erik Selvig,,,,,,,,,,3:00,1:00,,,,,,,,,,,,,,,6:30,13:45,,,
