Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,Marvel One-Shot: The Consultant,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,The Avengers,Marvel One-Shot: Item 47,Iron Man 3,Marvel One-Shot: Agent Carter,Agents of S.H.I.E.L.D.,Thor: The Dark World,Marvel One-Shot: All Hail the King,Captain America: The Winter Soldier,Guardians of the Galaxy,Agent Carter,Daredevil,Avengers: Age of Ultron,WHIH News Front,Ant-Man,Jessica Jones,Captain America: Civil War,Luke Cage,Doctor Strange,Agents of S.H.I.E.L.D.: Slingshot,Iron Fist,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,The Defenders,Inhumans,Thor: Ragnarok,The Punisher,Runaways,Black Panther,Avengers: Infinity War,Cloak & Dagger,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far from Home,Helstrom,Marvel Studios: Legends,WandaVision,The Falcon and the Winter Soldier,Loki,Black Widow,What If...?,Shang-Chi and the Legend of the Ten Rings,Eternals,Hawkeye,Spider-Man: No Way Home,Moon Knight,Doctor Strange in the Multiverse of Madness,Ms. Marvel,Thor: Love and Thunder,She-Hulk: Attorney at Law,Werewolf by Night,Black Panther: Wakanda Forever,The Guardians of the Galaxy: Holiday Special,character_name,alternate_name
77:15,:30,61:15,,,:30,,31:45,,62:15,,,,,,,,,27:15,:30,,,37:15,,,,,,8:00,,,,,,,17:00,,,,34:45,:30,,9:45,,,1:00,,9:30,,,,,,,,,,,,,Tony Stark,Iron Man
23:15,,17:30,,,,,4:30,,18:00,,,,,,,,,,,,,,,,,,,:45,,,,,,,1:30,,,,4:15,,,,,,,,3:00,,,,,,,,,,,,,Pepper Potts,
22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x:00,,,,,,,:45,,,,,,,,,,,,,Obadiah Stane,Iron Monger
10:45,,,,,,,,,:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professor Ho Yinsen,
8:15,,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00,,,,,,,,,,,,,"Lt. Col. James ""Rhodey"" Rhodes",
6:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raza,
3:45,,2:00,4:00,,2:15,1:45,9:00,,,,1058:30,,,,,,,,,,,,,,2:15,,,,,,,,,,,,,2:45,,,,,,,,,3:15,,,,,,,,,,,,,Agent Phil Coulson,
3:45,,1:30,,,,,,,,,,,,,,,,,9:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,:15,,,,,,,,,,,,,Christine Everhart,
1:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abu Bakaar,
1:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00,,,,,,,,,,,:45,7:30,,,,,,,2:00,,,,3:45,,,,,,,,,"Harold ""Happy"" Hogan",
:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00,,,,,,,,,,,,,,,,,,,,William Ginter Riva,
:15,,5:30,:45,:30,,,18:15,,,,5:15,,,15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director Nick Fury,
,51:45,,,,,,21:45,,:45,,,,,,,,,20:00,,,,,,,,,,,,,17:15,,,,9:30,,,:15,20:00,,,3:15,,,,,8:30,:30,,,,,,,,17:30,,,,Dr. Bruce Banner,The Hulk
,27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:45,,,,,,,,,,,,,Dr. Betty Ross,
